sample	R1	R2	R0
ERS11453815	20913651	20913651	0
ERS11453816	7179888	7179888	0
ERS4181285	17313533	17313533	0
ERS7649027	318898473	318898473	0
ERS7649028	315556807	315556807	0
SRS5300638	138202348	138202348	0
